choco_bar_name,company_name,rating,comapany_loc,cocoa_perc,bean_type,bean_origin,company_flavor,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Bread & Chocolate,Theo,2.5,USA,65.0,Blend,,Earthen,56.0,51.0,30.0,36.0,43.0,42.0,44.0,58.0,37.0,68.0,69.0,95.3,76.8,80.5
Dominican 60,Taza,3.0,USA,60.0,Hybrid,Dominican Republic,Twang,39.0,52.0,44.0,32.0,28.0,60.0,46.0,51.0,49.0,86.0,70.0,89.3,78.8,88.0
Iara Banana/Ginger,Coppeneur,0.5,Germany,72.0,Nacional,Ecuador,Spices,41.0,49.0,94.0,22.0,81.0,92.0,16.0,25.0,73.0,94.0,71.0,59.3,59.2,39.0
75%,Corallo,3.5,San,75.0,Amelonado,Príncipe,Spices,59.0,38.0,43.0,37.0,68.0,29.0,22.0,69.0,73.0,92.0,83.0,85.3,84.2,90.0
Abinao,Valrhona,3.5,France,85.0,Blend,(Africa),Crossover,34.0,61.0,81.0,69.0,33.0,84.0,56.0,77.0,90.0,80.0,82.0,91.3,82.8,84.5
Java w/ Coffee /Cinnamon,Coppeneur,4.5,Germany,52.0,some,Indonesia,Crossover,42.0,71.0,41.0,29.0,67.0,76.0,84.0,90.0,35.0,100.0,79.0,87.3,93.8,93.0
75% with Nibs,Corallo,5.0,San,75.0,Amelonado,Príncipe,Naked,44.0,42.0,51.0,43.0,64.0,57.0,70.0,72.0,68.0,100.0,89.0,100.0,88.2,10.0
#3 NM,Corallo,3.5,San,,Arabica,São Tomé,Earthen,44.0,42.0,51.0,43.0,64.0,57.0,70.0,72.0,68.0,78.0,81.0,84.0,84.2,88.5
#2 BB,Corallo,3.5,San,,Arabica,São Tomé,Spices,32.0,46.0,48.0,41.0,52.0,54.0,51.0,60.0,73.0,100.0,74.0,74.0,88.0,91.0
Favas de Cacau,Corallo,2.5,San,100.0,Amelonado,Príncipe,Earthen,4.0,3.0,41.0,63.0,65.0,94.0,52.0,39.0,98.0,64.0,88.0,67.3,71.8,93.5
CAT #1,Corallo,3.0,San,,Arabica,São Tomé,Earthen,52.0,57.0,41.0,43.0,35.0,33.0,59.0,64.0,71.0,100.0,71.0,81.3,82.0,85.5
100%,Corallo,2.0,San,100.0,Amelonado,Príncipe,Earthen,7.0,14.0,22.0,73.0,69.0,90.0,12.0,16.0,73.0,82.0,72.0,72.7,62.6,87.0
Gran Kru,Corallo,4.5,San,70.0,Amelonado,Príncipe,Fruits,18.0,59.0,64.0,31.0,44.0,95.0,91.0,77.0,89.0,100.0,87.0,88.0,90.2,98.0
Mexican/Costa Rica,Taza,2.5,USA,70.0,Ceylan,(Mexico; Costa Rica),Crossover,41.0,17.0,83.0,80.0,30.0,88.0,76.0,64.0,90.0,92.0,75.0,88.0,74.0,75.5
73.5% w/ Nibs,Corallo,4.0,San,0.5,Amelonado,Príncipe,Naked,68.0,35.0,54.0,49.0,66.0,51.0,34.0,57.0,63.0,100.0,87.0,82.7,85.8,91.0
80% w/ Sugar Crystals,Corallo,3.5,San,80.0,Amelonado,Príncipe,Naked,47.0,46.0,22.0,34.0,68.0,29.0,18.0,55.0,61.0,84.0,71.0,93.3,82.2,91.5
Saffron & Orange,Coppeneur,1.5,Germany,72.0,,,Twang,18.0,92.0,96.0,7.0,68.0,99.0,21.0,70.0,88.0,92.0,69.0,62.0,67.2,70.5
Milk Chocolate,A. Korkunov,2.5,Russia,,Blend,,Sugar,39.0,91.0,2.0,5.0,68.0,14.0,7.0,43.0,47.0,44.0,41.0,68.7,87.8,90.0
Toffee & Coriander,Coppeneur,4.5,Germany,,,,Spices,19.0,86.0,44.0,12.0,66.0,51.0,83.0,77.0,70.0,100.0,92.0,94.0,90.0,90.5
Black Beer,Coppeneur,4.0,Germany,72.0,,,Earthen,86.0,64.0,38.0,24.0,77.0,53.0,69.0,83.0,91.0,82.0,94.0,85.3,89.2,92.0
Creole,Vosges,0.0,USA,70.0,Amazon,São Tomé,Earthen,27.0,52.0,31.0,59.0,84.0,63.0,11.0,6.0,95.0,64.0,74.0,64.7,37.2,29.0
Calindia,Vosges,1.0,USA,65.0,,Venezuela,Spices,29.0,48.0,81.0,17.0,79.0,62.0,44.0,51.0,63.0,66.0,68.0,62.7,59.4,56.0
Barcelona,Vosges,2.0,USA,,,,Earthen,19.0,58.0,11.0,20.0,73.0,42.0,39.0,46.0,61.0,38.0,47.0,72.0,78.6,78.0
