rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality,bitter_cocoa,sweet_cocoa,sweet_bitter,flavor_quality,flavor_compl,quality_struc,quality_comple
0.0,70.0,27.0,52.0,31.0,59.0,84.0,63.0,11.0,6.0,95.0,64.0,74.0,64.7,37.2,29.0,4130.0,3640.0,3068.0,1078.8000000000002,409.20000000000005,174.0,319.0
1.0,65.0,29.0,48.0,81.0,17.0,79.0,62.0,44.0,51.0,63.0,66.0,68.0,62.7,59.4,56.0,1105.0,3120.0,816.0,3326.4,2613.6,2856.0,2464.0
2.5,75.0,31.0,39.0,48.0,40.0,89.0,42.0,46.0,36.0,62.0,72.0,79.0,68.7,83.4,79.0,3000.0,2925.0,1560.0,6588.6,3836.4,2844.0,3634.0
3.5,74.0,65.0,86.0,57.0,41.0,83.0,54.0,78.0,46.0,69.0,68.0,78.0,74.7,87.8,89.0,3034.0,6364.0,3526.0,7814.2,6848.4,4094.0,6942.0
3.5,40.0,46.0,67.0,79.0,18.0,77.0,72.0,64.0,51.0,83.0,90.0,88.0,86.7,84.8,85.5,720.0,2680.0,1206.0,7250.4,5427.2,4360.5,5472.0
3.0,65.0,58.0,72.0,41.0,23.0,34.0,19.0,33.0,42.0,47.0,92.0,72.0,83.3,80.6,85.5,1495.0,4680.0,1656.0,6891.299999999999,2659.7999999999997,3591.0,2821.5
3.0,70.0,46.0,38.0,14.0,33.0,62.0,41.0,47.0,45.0,53.0,72.0,71.0,89.3,82.4,89.5,2310.0,2660.0,1254.0,7374.8,3872.8,4027.5,4206.5
3.5,35.0,72.0,76.0,34.0,26.0,48.0,31.0,44.0,82.0,53.0,90.0,82.0,85.3,89.2,81.0,910.0,2660.0,1976.0,7225.2,3924.8,6642.0,3564.0
4.0,85.0,92.0,43.0,38.0,56.0,84.0,67.0,46.0,89.0,71.0,94.0,76.0,89.3,91.6,91.0,4760.0,3655.0,2408.0,8335.6,4213.599999999999,8099.0,4186.0
2.5,65.0,63.0,67.0,32.0,45.0,70.0,22.0,29.0,57.0,69.0,92.0,77.0,74.7,77.0,80.5,2925.0,4355.0,3015.0,6198.5,2233.0,4588.5,2334.5
1.0,73.0,40.0,37.0,53.0,39.0,64.0,50.0,23.0,32.0,48.0,94.0,70.0,65.3,58.4,59.0,2847.0,2701.0,1443.0,3445.6,1343.2,1888.0,1357.0
3.0,55.0,36.0,58.0,35.0,41.0,49.0,62.0,64.0,40.0,83.0,96.0,63.0,76.7,83.8,78.0,2255.0,3190.0,2378.0,6536.4,5363.2,3120.0,4992.0
2.0,55.0,39.0,51.0,23.0,14.0,42.0,40.0,34.0,18.0,56.0,92.0,62.0,88.7,69.8,63.5,770.0,2805.0,714.0,4432.3,2373.2,1143.0,2159.0
0.5,55.0,61.0,44.0,31.0,28.0,60.0,57.0,12.0,42.0,36.0,42.0,53.0,68.0,57.2,49.0,1540.0,2420.0,1232.0,2802.8,686.4000000000001,2058.0,588.0
1.5,65.0,42.0,46.0,49.0,43.0,51.0,36.0,44.0,34.0,62.0,88.0,63.0,40.7,75.2,62.5,2795.0,2990.0,1978.0,4700.0,3308.8,2125.0,2750.0
0.0,33.0,28.0,76.0,8.0,7.0,36.0,5.0,15.0,35.0,40.0,94.0,82.0,44.7,37.6,32.5,231.0,2508.0,532.0,1222.0,564.0,1137.5,487.5
0.5,33.0,29.0,47.0,16.0,8.0,32.0,21.0,13.0,43.0,35.0,86.0,28.0,68.0,59.4,41.5,264.0,1551.0,376.0,2465.1,772.1999999999999,1784.5,539.5
0.5,61.0,41.0,52.0,34.0,62.0,76.0,50.0,28.0,16.0,38.0,62.0,68.0,54.0,59.0,48.5,3782.0,3172.0,3224.0,2861.5,1652.0,776.0,1358.0
2.5,60.0,53.0,66.0,35.0,23.0,49.0,34.0,35.0,43.0,51.0,92.0,81.0,72.0,79.2,77.0,1380.0,3960.0,1518.0,6098.400000000001,2772.0,3311.0,2695.0
0.5,33.0,31.0,54.0,5.0,7.0,51.0,62.0,40.0,12.0,28.0,86.0,42.0,90.7,54.6,43.5,231.0,1782.0,378.0,2375.1,2184.0,522.0,1740.0
1.0,70.0,34.0,41.0,26.0,77.0,82.0,44.0,30.0,28.0,33.0,100.0,68.0,76.0,59.4,51.5,5390.0,2870.0,3157.0,3059.1,1782.0,1442.0,1545.0
4.0,55.0,64.0,80.0,71.0,32.0,63.0,76.0,62.0,77.0,43.0,100.0,93.0,85.3,87.2,88.0,1760.0,4400.0,2560.0,7673.6,5406.400000000001,6776.0,5456.0
1.5,70.0,52.0,20.0,24.0,43.0,76.0,49.0,21.0,34.0,45.0,84.0,64.0,62.0,69.6,68.0,3010.0,1400.0,860.0,4732.799999999999,1461.6,2312.0,1428.0
3.0,72.0,78.0,44.0,31.0,47.0,82.0,36.0,25.0,39.0,64.0,84.0,72.0,84.0,84.2,84.0,3384.0,3168.0,2068.0,7072.8,2105.0,3276.0,2100.0
0.5,75.0,34.0,32.0,39.0,40.0,72.0,46.0,44.0,35.0,57.0,52.0,62.0,58.7,59.4,60.0,3000.0,2400.0,1280.0,3564.0,2613.6,2100.0,2640.0
2.5,70.0,34.0,35.0,43.0,41.0,70.0,49.0,61.0,58.0,60.0,72.0,77.0,82.7,83.8,71.0,2870.0,2450.0,1435.0,5949.8,5111.8,4118.0,4331.0
2.5,70.0,49.0,35.0,38.0,71.0,73.0,44.0,42.0,50.0,53.0,92.0,66.0,78.0,75.8,76.0,4970.0,2450.0,2485.0,5760.8,3183.6,3800.0,3192.0
1.5,33.0,24.0,96.0,15.0,6.0,39.0,70.0,27.0,38.0,40.0,86.0,70.0,82.7,62.0,61.0,198.0,3168.0,576.0,3782.0,1674.0,2318.0,1647.0
3.5,68.0,34.0,48.0,87.0,56.0,98.0,94.0,51.0,55.0,73.0,86.0,69.0,90.7,85.6,87.5,3808.0,3264.0,2688.0,7489.999999999999,4365.599999999999,4812.5,4462.5
