choco_bar_name,company_name,company_loc,rating,cocoa_perc,CQ,sweetness,acidity,bitterness,roast,intensity,complexity,structure,length,appearance,aroma,mouthfeel,flavor,quality
Black Beer,Coppeneur,Germany,4.0,72.0,86.0,64.0,38.0,24.0,77.0,53.0,69.0,83.0,91.0,82.0,94.0,85.3,89.2,92.0
Creole,Vosges,USA,0.0,70.0,27.0,52.0,31.0,59.0,84.0,63.0,11.0,6.0,95.0,64.0,74.0,64.7,37.2,29.0
Calindia,Vosges,USA,1.0,65.0,29.0,48.0,81.0,17.0,79.0,62.0,44.0,51.0,63.0,66.0,68.0,62.7,59.4,56.0
Oaxaca,Vosges,USA,2.5,75.0,31.0,39.0,48.0,40.0,89.0,42.0,46.0,36.0,62.0,72.0,79.0,68.7,83.4,79.0
Superfruit,Dagoba,USA,3.5,74.0,65.0,86.0,57.0,41.0,83.0,54.0,78.0,46.0,69.0,68.0,78.0,74.7,87.8,89.0
Chai Tea,Theo,USA,3.5,40.0,46.0,67.0,79.0,18.0,77.0,72.0,64.0,51.0,83.0,90.0,88.0,86.7,84.8,85.5
Dark Almond,Charles,USA,3.0,65.0,58.0,72.0,41.0,23.0,34.0,19.0,33.0,42.0,47.0,92.0,72.0,83.3,80.6,85.5
Pumpkinseed,Choco-Lina,Austria,3.0,70.0,46.0,38.0,14.0,33.0,62.0,41.0,47.0,45.0,53.0,72.0,71.0,89.3,82.4,89.5
Ivoire,Valrhona,France,3.5,35.0,72.0,76.0,34.0,26.0,48.0,31.0,44.0,82.0,53.0,90.0,82.0,85.3,89.2,81.0
85%,Vivani,Germany,4.0,85.0,92.0,43.0,38.0,56.0,84.0,67.0,46.0,89.0,71.0,94.0,76.0,89.3,91.6,91.0
Rich Dark,Chocolove,USA,2.5,65.0,63.0,67.0,32.0,45.0,70.0,22.0,29.0,57.0,69.0,92.0,77.0,74.7,77.0,80.5
